Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode
JPMorgan Chase Bank,0,West Maple-Inkster Road Branch,2619,8/27/1962,11/13/2004,4860 West Maple Road,Bloomfield Hills,Oakland,MI,48301
JPMorgan Chase Bank,0,Groesbeck-Metropolitan Branch,2620,9/10/1965,11/13/2004,20755 Nunneley Road,Clinton Township,Macomb,MI,48036
JPMorgan Chase Bank,0,Ford Road-Outer Drive Branch,2621,12/5/1960,11/13/2004,23210 Ford Road,Dearborn Heights,Wayne,MI,48127
JPMorgan Chase Bank,0,Warren-Silvery Lane Branch,2622,9/29/1958,11/13/2004,24950 West Warren Avenue,Dearborn Heights,Wayne,MI,48127
JPMorgan Chase Bank,0,Grand River-Fenkell Drive-Up Branch,2624,10/1/1962,11/13/2004,18285 Grand River Avenue,Detroit,Wayne,MI,48223
JPMorgan Chase Bank,0,Trumbull-Porter Branch,2626,11/6/1964,11/13/2004,1450 Trumbull Avenue,Detroit,Wayne,MI,48216
JPMorgan Chase Bank,0,Dequindre-Eight Mile Branch,2627,12/15/1952,11/13/2004,20465 Dequindre Avenue,Detroit,Wayne,MI,48234
JPMorgan Chase Bank,0,Fort Junction Branch,2628,3/24/1933,11/13/2004,5460 West Fort Street,Detroit,Wayne,MI,48209
JPMorgan Chase Bank,0,Grand River-Fenkell Branch,2629,4/26/1937,11/13/2004,18203 Fenkell Avenue,Detroit,Wayne,MI,48223
JPMorgan Chase Bank,0,West Eight Mile Road-Lindsay Branch,2630,4/29/1957,11/13/2004,17221 West Eight Mile Road,Detroit,Wayne,MI,48235
JPMorgan Chase Bank,0,Gratiot-Warren Branch,2631,3/24/1933,11/13/2004,7400 Gratiot Avenue,Detroit,Wayne,MI,48207
JPMorgan Chase Bank,0,Eastern Market Branch,2632,3/24/1933,11/13/2004,2941 Russell Street,Detroit,Wayne,MI,48207
JPMorgan Chase Bank,0,Harbortown Branch,2633,3/24/1933,11/13/2004,3300 East Jefferson Avenue,Detroit,Wayne,MI,48207
JPMorgan Chase Bank,0,Southfield-Warren Branch,2635,12/8/1952,11/13/2004,17733 West Warren Avenue,Detroit,Wayne,MI,48228
JPMorgan Chase Bank,0,Uptown Detroit Branch,2636,3/24/1933,11/13/2004,3044 West Grand Boulevard,Detroit,Wayne,MI,48202
JPMorgan Chase Bank,0,Van Dyke-Eight Mile Branch,2637,4/8/1942,11/13/2004,20500 Van Dyke Avenue,Detroit,Wayne,MI,48234
JPMorgan Chase Bank,0,Vernor-Springwells Branch,2638,3/24/1933,11/13/2004,8021 West Vernor Highway,Detroit,Wayne,MI,48209
JPMorgan Chase Bank,0,Seven Mile Winthrop Branch,2639,8/15/1949,11/13/2004,15633 West Seven Mile Road,Detroit,Wayne,MI,48235
JPMorgan Chase Bank,0,Woodward-Englewood Branch,2640,3/24/1933,11/13/2004,11606 Woodward Avenue,Detroit,Wayne,MI,48202
JPMorgan Chase Bank,0,Cultural Center Branch,2641,6/12/1933,11/13/2004,5057 Woodward Avenue,Detroit,Wayne,MI,48202
JPMorgan Chase Bank,0,Farmington Branch,2642,7/23/1962,11/13/2004,23309 Farmington Road,Farmington,Oakland,MI,48336
JPMorgan Chase Bank,0,Twelve Mile-Farmington Road Branch,2643,4/3/1959,11/13/2004,33200 West Twelve Mile Road,Farmington Hills,Oakland,MI,48334
JPMorgan Chase Bank,0,Middle Belt-Eleven Mile Road Branch,2644,2/26/1965,11/13/2004,26029 Middlebelt Road,Farmington Hills,Oakland,MI,48334
JPMorgan Chase Bank,0,Garden City Ford Road Branch,2645,1/23/1946,11/13/2004,28925 Ford Road,Garden City,Wayne,MI,48135
JPMorgan Chase Bank,0,Grosse Pointe Branch,2646,10/3/1955,11/13/2004,17449 East Jefferson,Grosse Pointe,Wayne,MI,48230
JPMorgan Chase Bank,0,Kercheval-St. Clair Branch,2647,8/1/1955,11/13/2004,685 St. Clair Street,Grosse Pointe,Wayne,MI,48230
JPMorgan Chase Bank,0,Mack-Moross Road Branch,2648,1/27/1960,11/13/2004,460 Moross Road,Grosse Pointe Farms,Wayne,MI,48236
JPMorgan Chase Bank,0,Vernier-Harper Branch,2650,6/11/1965,11/13/2004,20675 Vernier Road,Harper Woods,Wayne,MI,48225
JPMorgan Chase Bank,0,Woodward-Salem Branch,2651,8/2/1965,11/13/2004,26363 Woodward Avenue,Huntington Woods,Oakland,MI,48070
JPMorgan Chase Bank,0,Coolidge-Vernon Brach,2652,9/27/1965,11/13/2004,25800 Coolidge Highway,Huntington Woods,Oakland,MI,48070
JPMorgan Chase Bank,0,Inkster Branch,2653,1/19/1949,11/13/2004,27020 Michigan Avenue,Inkster,Wayne,MI,48141
JPMorgan Chase Bank,0,Southfield-Eleven Mile Branch,2654,1/27/1956,11/13/2004,18100 West Eleven Mile Road,Lathrup Village,Oakland,MI,48076
JPMorgan Chase Bank,0,Plymouth-Deering Branch,2656,10/29/1952,11/13/2004,27901 Plymouth Road,Livonia,Wayne,MI,48150
JPMorgan Chase Bank,0,Plymouth-Cranston Branch,2657,3/16/1951,11/13/2004,32203 Plymouth Road,Livonia,Wayne,MI,48150
JPMorgan Chase Bank,0,Metro Parkways + Mound Road Branch,2658,5/2/1957,11/13/2004,5601 Metropolitan Parkway,Sterling Heights,Macomb,MI,48310
JPMorgan Chase Bank,0,Novi Branch,2659,5/28/1956,11/13/2004,43100 Grand River Avenue,Novi,Oakland,MI,48375
JPMorgan Chase Bank,0,Orchard Lake-Pontiac Trail Branch,2660,5/8/1964,11/13/2004,4150 Orchard Lake Road,Orchard Lake,Oakland,MI,48323
JPMorgan Chase Bank,0,Cherry Hill Merriman Branch,2661,6/15/1960,11/13/2004,31311 Cherry Hill Road,Westland,Wayne,MI,48185
JPMorgan Chase Bank,0,Wayne Road-Cowan Branch,2662,7/7/1965,11/13/2004,7750 North Wayne Road,Westland,Wayne,MI,48185
JPMorgan Chase Bank,0,Harvey Branch,2663,9/1/1955,11/13/2004,980 Ann Arbor Road,Plymouth,Wayne,MI,48170
JPMorgan Chase Bank,0,West Chicago-Telegraph Road Branch,2664,2/24/1964,11/13/2004,9540 Telegraph Road,Redford,Wayne,MI,48239
JPMorgan Chase Bank,0,Six Mile-Inkster Branch,2665,9/10/1962,11/13/2004,27275 West Six Mile Road,Redford,Wayne,MI,48240
JPMorgan Chase Bank,0,Rochester Branch,2666,10/3/1955,11/13/2004,339 South Main Street,Rochester,Oakland,MI,48307
JPMorgan Chase Bank,0,24 Mile-Shelby Road Branch,2667,12/18/1964,11/13/2004,4665 24 Mile Road,Shelby Township,Macomb,MI,48316
JPMorgan Chase Bank,0,Northwestern - Twelve Mile Branch,2668,9/16/1957,11/13/2004,28660 Northwestern Highway,Southfield,Oakland,MI,48034
JPMorgan Chase Bank,0,Van Dyke-Plum Brook Branch,2669,8/16/1962,11/13/2004,39900 Van Dyke Avenue,Sterling Heights,Macomb,MI,48313
JPMorgan Chase Bank,0,Utica Branch,2670,10/3/1955,11/13/2004,45303 Van Dyke Road,Utica,Macomb,MI,48317
JPMorgan Chase Bank,0,Van Dyke-Twelve Mile Branch,2671,11/12/1954,11/13/2004,29700 Van Dyke Road,Warren,Macomb,MI,48093
JPMorgan Chase Bank,0,Wayne Branch,2672,10/1/1952,11/13/2004,35011 West Michigan Avenue,Wayne,Wayne,MI,48184
JPMorgan Chase Bank,0,N. Territorial Sheldon Branch,2673,8/1/1966,11/13/2004,235 North Sheldon Road,Plymouth,Wayne,MI,48170
JPMorgan Chase Bank,0,Schoenherr-14 Mile Branch,2674,7/28/1966,11/13/2004,33051 Schoenherr Road,Sterling Heights,Macomb,MI,48312
JPMorgan Chase Bank,0,Lakeside Circle Branch,2676,12/23/1966,11/13/2004,13999 Lakeside Circle,Sterling Heights,Macomb,MI,48313
JPMorgan Chase Bank,0,Walton-Livernois Branch,2677,3/17/1967,11/13/2004,1290 Walton Boulevard,Rochester Hills,Oakland,MI,48307
JPMorgan Chase Bank,0,Metropolitan Airport Branch,2678,4/4/1968,11/13/2004,10421 Middle Belt Road,Romulus,Wayne,MI,48174
JPMorgan Chase Bank,0,Van Dyke 23 Mile Road Branch,2679,2/14/1969,11/13/2004,50920 Van Dyke Road,Shelby Township,Macomb,MI,48317
JPMorgan Chase Bank,0,West Eight Mile-Haggerty Branch,2680,9/15/1969,11/13/2004,39820 West Eight Mile Road,Northville,Oakland,MI,48167
JPMorgan Chase Bank,0,W. Seven Mile-Northville Road Branch,2681,9/16/1969,11/13/2004,42901 West Seven Mile Road,Northville,Wayne,MI,48167
JPMorgan Chase Bank,0,Barclay Circle Branch,2682,4/10/1970,11/13/2004,25 Barclay Circle Road,Rochester,Oakland,MI,48307
JPMorgan Chase Bank,0,Garfield-19 Mile Branch,2683,4/20/1970,11/13/2004,43101 Garfield Road,Clinton Township,Macomb,MI,48038
JPMorgan Chase Bank,0,Harper-Metropolitan Parkway Branch,2684,4/20/1970,11/13/2004,37408 Harper Avenue,Clinton Township,Macomb,MI,48036
JPMorgan Chase Bank,0,Ford Road-Canton Center Branch,2685,5/26/1972,11/13/2004,45345 West Ford Road,Canton,Wayne,MI,48187
JPMorgan Chase Bank,0,Lakewood Rawsonville Branch,2687,7/13/1973,11/13/2004,2025 Rawsonville Road,Belleville,Wayne,MI,48111
JPMorgan Chase Bank,0,Dexter-Glendale Branch,2688,1/14/1974,11/13/2004,12840 Dexter Avenue,Detroit,Wayne,MI,48238
JPMorgan Chase Bank,0,West Long Lake + Telegraph Branch,2689,12/10/1976,11/13/2004,1116 West Long Lake Road,Bloomfield Hills,Oakland,MI,48302
JPMorgan Chase Bank,0,Renaissance Center Lobby Branch,2690,8/29/1977,11/13/2004,100 Renaissance Center - Suite 2104,Detroit,Wayne,MI,48243
JPMorgan Chase Bank,0,Allen-King Branch,2695,4/2/1979,11/13/2004,20920 Allen Road,Brownstown Township,Wayne,MI,48183
JPMorgan Chase Bank,0,Orchard Lake-Maple Road Branch,2696,8/11/1980,11/13/2004,6920 Orchard Lake Road,West Bloomfield,Oakland,MI,48322
JPMorgan Chase Bank,0,John R-14 Mile Road Branch,2697,10/24/1977,11/13/2004,260 John R. Street,Troy,Oakland,MI,48083
JPMorgan Chase Bank,0,Walton-Adams Branch,2698,3/26/1979,11/13/2004,75 North Adams Road,Rochester Hills,Oakland,MI,48309
JPMorgan Chase Bank,0,Long Lake - Rochester Branch,2699,7/9/1979,11/13/2004,1050 East Long Lake Road,Troy,Oakland,MI,48085
JPMorgan Chase Bank,0,Monroe Beech Branch,2700,6/18/1979,11/13/2004,1324 Monroe Street,Dearborn,Wayne,MI,48124
JPMorgan Chase Bank,0,Ford-Steadman Branch,2701,12/20/1979,11/13/2004,14901 Ford Road,Dearborn,Wayne,MI,48126
JPMorgan Chase Bank,0,Auburn Hills Branch,2702,9/10/1952,11/13/2004,3401 Auburn Road,Auburn Hills,Oakland,MI,48326
JPMorgan Chase Bank,0,Drayton Plains Branch,2703,7/7/1954,11/13/2004,4750 Dixie Highway,Waterford,Oakland,MI,48329
JPMorgan Chase Bank,0,East Highland Branch,2704,5/1/1964,11/13/2004,2886 East Highland Road,Highland,Oakland,MI,48356
JPMorgan Chase Bank,0,Town Square Bloomfield Branch,2705,9/9/1957,11/13/2004,2205 1/2 Telegraph Road,Bloomfield Hills,Oakland,MI,48302
JPMorgan Chase Bank,0,Baldwin Branch,2706,3/13/1957,11/13/2004,1261 Baldwin Avenue,Pontiac,Oakland,MI,48340
JPMorgan Chase Bank,0,Opdyke Walton Branch,2707,5/25/1964,11/13/2004,2450 North Opdyke Road,Auburn Hills,Oakland,MI,48326
JPMorgan Chase Bank,0,M-59 Branch,2708,10/9/1961,11/13/2004,7007 Highland Road,Waterford,Oakland,MI,48327
JPMorgan Chase Bank,0,West Huron Branch,2709,7/14/1966,11/13/2004,3166 West Huron Street,Waterford,Oakland,MI,48328
JPMorgan Chase Bank,0,Union Commerce Branch,2710,5/1/1972,11/13/2004,2801 Union Lake Road,Commerce Township,Oakland,MI,48382
JPMorgan Chase Bank,0,Pine Knob Banking Center Branch,2711,12/20/1973,11/13/2004,5541 Sashabaw Road,Clarkston,Oakland,MI,48346
JPMorgan Chase Bank,0,Oxford Lapeer Branch,2712,8/12/1974,11/13/2004,990 South Lapeer Road,Oxford,Oakland,MI,48371
JPMorgan Chase Bank,0,Walled Lake Branch,2713,9/7/1977,11/13/2004,2181 North Pontiac Trail,Walled Lake,Oakland,MI,48390
JPMorgan Chase Bank,0,Dixie-Maybee Branch,2714,9/26/1979,11/13/2004,6670 Dixie Highway,Clarkston,Oakland,MI,48346
JPMorgan Chase Bank,0,Biddle Eureka Branch,2716,11/20/1871,11/13/2004,3200 Biddle Avenue,Wyandotte,Wayne,MI,48192
JPMorgan Chase Bank,0,Van Born Road Branch,2717,4/2/1958,11/13/2004,23150 Van Born Road,Dearborn Heights,Wayne,MI,48125
JPMorgan Chase Bank,0,Fort-Northline Branch,2718,2/7/1958,11/13/2004,1909 Fort Street,Wyandotte,Wayne,MI,48192
JPMorgan Chase Bank,0,Northline Allen Branch,2719,4/26/1968,11/13/2004,20650 Northline Road,Taylor,Wayne,MI,48180
JPMorgan Chase Bank,0,Fort Street Branch,2720,10/28/1976,11/13/2004,600 Fort Street,Port Huron,St. Clair,MI,48060
JPMorgan Chase Bank,0,Pine Grove Garfield Branch,2721,3/23/1962,11/13/2004,2727 Pine Grove Avenue,Port Huron,St. Clair,MI,48060
JPMorgan Chase Bank,0,Port Huron 24th Street Branch,2722,2/18/1953,11/13/2004,1226 24th Street,Port Huron,St. Clair,MI,48060
JPMorgan Chase Bank,0,Gratiot Branch,2723,6/3/1968,11/13/2004,2425 Gratiot Boulevard,Marysville,St. Clair,MI,48040
JPMorgan Chase Bank,0,Kimball Branch,2724,11/12/1974,11/13/2004,4503 Lapeer Road,Kimball,St. Clair,MI,48074
JPMorgan Chase Bank,0,Busha Highway Branch,2725,10/6/1975,11/13/2004,1650 Busha Highway,Marysville,St. Clair,MI,48040
JPMorgan Chase Bank,0,Fort Gratiot Branch,2726,3/13/1978,11/13/2004,4512 24th Avenue,Fort Gratiot,St. Clair,MI,48059
JPMorgan Chase Bank,0,Pine Grove Drive-Up Branch,2727,8/1/1983,11/13/2004,2727 Pine Grove Avenue,Port Huron,St. Clair,MI,48060
JPMorgan Chase Bank,0,Main Washington Branch,2728,01/01/1893,11/13/2004,125 South Main Street,Ann Arbor,Washtenaw,MI,48104
JPMorgan Chase Bank,0,Westgate Ann Arbor Branch,2729,2/1/1960,11/13/2004,2475 West Stadium Boulevard,Ann Arbor,Washtenaw,MI,48103
JPMorgan Chase Bank,0,Packard Branch,2730,12/1/1954,11/13/2004,1501 East Stadium Boulevard,Ann Arbor,Washtenaw,MI,48104
JPMorgan Chase Bank,0,Milan Branch,2731,12/4/1961,11/13/2004,9 Wabash Street,Milan,Washtenaw,MI,48160
JPMorgan Chase Bank,0,Plymouth Green Branch,2732,5/15/1968,11/13/2004,3500 Plymouth Road,Ann Arbor,Washtenaw,MI,48105
JPMorgan Chase Bank,0,Briarwood Branch,2733,10/3/1973,11/13/2004,105 Briarwood Circle,Ann Arbor,Washtenaw,MI,48108
JPMorgan Chase Bank,0,Huron River Drive Branch,2734,2/18/1976,11/13/2004,5485 Huron River Drive,Ypsilanti,Washtenaw,MI,48197
JPMorgan Chase Bank,0,West Saginaw Branch,2735,4/19/1974,11/13/2004,4530 West Saginaw Street,Lansing,Eaton,MI,48917
JPMorgan Chase Bank,0,Frandor Branch,2736,11/15/1976,11/13/2004,3118 East Saginaw Street,Lansing,Ingham,MI,48912
JPMorgan Chase Bank,0,South Pennsylvania Branch,2737,1/18/1978,11/13/2004,6015 South Pennsylvania Avenue,Lansing,Ingham,MI,48911
JPMorgan Chase Bank,0,Okemos Branch,2738,2/20/1988,11/13/2004,1749 West Grand River Avenue,Okemos,Ingham,MI,48864
JPMorgan Chase Bank,0,Fowlerville Branch,2739,7/1/1942,11/13/2004,118 East Grand River,Fowlerville,Livingston,MI,48836
JPMorgan Chase Bank,0,Fowlerville Drive-Up Branch,2740,5/15/1973,11/13/2004,115 Church Street,Fowlerville,Livingston,MI,48836
JPMorgan Chase Bank,0,Howell Grand River Branch,2741,10/6/1980,11/13/2004,2410 West Grand River Avenue,Howell,Livingston,MI,48843
JPMorgan Chase Bank,0,6 Mile/Newburgh Branch,2742,9/5/1990,11/13/2004,37458 Six Mile Road,Livonia,Wayne,MI,48152
JPMorgan Chase Bank,0,Fort Williamsburg Branch,2744,11/7/1950,11/13/2004,17800 Fort Street,Riverview,Wayne,MI,48193
JPMorgan Chase Bank,0,Allen Park Branch,2745,11/7/1950,11/13/2004,14601 Southfield,Allen Park,Wayne,MI,48101
JPMorgan Chase Bank,0,First St Beach Branch,2746,01/01/1872,11/13/2004,210 W First St,Flint,Genesee,MI,48502
JPMorgan Chase Bank,0,Beecher Heights Branch,2747,1/10/1955,11/13/2004,G-5491 North Saginaw Street,Flint,Genesee,MI,48505
JPMorgan Chase Bank,0,Burton Heights Branch,2748,12/17/1956,11/13/2004,G-4085 S Saginaw Street,Burton,Genesee,MI,48529
JPMorgan Chase Bank,0,Byron Branch,2749,4/1/1959,11/13/2004,136 South Saginaw Street,Byron,Shiawassee,MI,48418
JPMorgan Chase Bank,0,Bentley Branch,2751,5/1/1960,11/13/2004,1232 South Belsay Road,Burton,Genesee,MI,48509
JPMorgan Chase Bank,0,Davison Donegal Branch,2754,5/10/1954,11/13/2004,4154 Davison Road,Burton,Genesee,MI,48509
JPMorgan Chase Bank,0,First Street Beach Branch,2755,7/1/1957,11/13/2004,210 West First Street,Flint,Genesee,MI,48502
JPMorgan Chase Bank,0,Clio Pierson Branch,2757,11/8/1956,11/13/2004,4934 Clio Road,Flint,Genesee,MI,48504
JPMorgan Chase Bank,0,Dye Corunna Branch,2758,12/7/1962,11/13/2004,5312 Corunna Road,Flint,Genesee,MI,48532
JPMorgan Chase Bank,0,Flushing Branch,2759,1/2/1959,11/13/2004,124 South Cherry Street,Flushing,Genesee,MI,48433
JPMorgan Chase Bank,0,Flushing Point Branch,2760,2/23/1966,11/13/2004,6481 Pierson Road,Flushing,Genesee,MI,48433
JPMorgan Chase Bank,0,Genesee Branch,2761,3/12/1962,11/13/2004,7218 North Genesee Road,Genesee,Genesee,MI,48437
JPMorgan Chase Bank,0,Goodrich Branch,2762,9/25/1957,11/13/2004,7301 State Road,Goodrich,Genesee,MI,48438
JPMorgan Chase Bank,0,Grand Blanc Point Branch,2763,11/1/1963,11/13/2004,"5668 South Saginaw Road, Suite G",Flint,Genesee,MI,48507
JPMorgan Chase Bank,0,Ortonville Branch,2764,1/2/1959,11/13/2004,761 South Ortonville Road,Ortonville,Oakland,MI,48462
JPMorgan Chase Bank,0,Swartz Creek Branch,2765,3/31/1952,11/13/2004,4459 Fortino Drive,Swartz Creek,Genesee,MI,48473
JPMorgan Chase Bank,0,Vernon Branch,2766,3/6/1961,11/13/2004,101 West Main Street,Vernon,Shiawassee,MI,48476
JPMorgan Chase Bank,0,Davison South Branch,2767,6/21/1971,11/13/2004,1121 South State Road,Davison,Genesee,MI,48423
JPMorgan Chase Bank,0,Diplomat Plaza Branch,2769,12/14/1976,11/13/2004,G-3402 Flushing Road,Flint,Genesee,MI,48504
JPMorgan Chase Bank,0,Fenton Branch,2770,7/11/1978,11/13/2004,14206 Fenton Road,Fenton,Genesee,MI,48430
JPMorgan Chase Bank,0,Lapeer Branch,2771,4/9/1980,11/13/2004,1643 North Lapeer Road,Lapeer,Lapeer,MI,48446
JPMorgan Chase Bank,0,Clio Branch,2772,6/10/1988,11/13/2004,4130 West Vienna Road,Clio,Genesee,MI,48420
JPMorgan Chase Bank,0,Court Street Saginaw Branch,2773,7/23/1970,11/13/2004,821 Court Street,Saginaw,Saginaw,MI,48602
JPMorgan Chase Bank,0,Hemlock Branch,2775,1/1/1909,11/13/2004,349 West Saginaw Street,Hemlock,Saginaw,MI,48626
JPMorgan Chase Bank,0,Vassar Branch,2776,1/5/1934,11/13/2004,136 South Main Street,Vassar,Tuscola,MI,48768
JPMorgan Chase Bank,0,Bay Mccarty Branch,2777,12/29/1975,11/13/2004,4144 Bay Road,Saginaw,Saginaw,MI,48603
JPMorgan Chase Bank,0,Brockway-Center Branch,2778,11/28/1977,11/13/2004,1440 North Center Road,Saginaw,Saginaw,MI,48638
JPMorgan Chase Bank,0,West Park Branch,2779,01/01/1887,11/13/2004,410 West Sanilac,Sandusky,Sanilac,MI,48471
JPMorgan Chase Bank,0,Marlette Branch,2780,6/1/1935,11/13/2004,3064 Main Street,Marlette,Sanilac,MI,48453
JPMorgan Chase Bank,0,Marlette Annex Branch,2781,9/16/1974,11/13/2004,2827 North Main,Marlette,Sanilac,MI,48453
JPMorgan Chase Bank,0,Battle Creek Branch,2782,6/15/1987,11/13/2004,30 Hill Brady Road,Battle Creek,Calhoun,MI,49037
JPMorgan Chase Bank,0,Riverview Branch,2783,11/17/1933,11/13/2004,400 Riverview Drive,Benton Harbor,Berrien,MI,49022
JPMorgan Chase Bank,0,Bridgman Branch,2784,10/1/1959,11/13/2004,4249 Lake Street,Bridgman,Berrien,MI,49106
JPMorgan Chase Bank,0,Fairplain Plaza Branch,2785,6/18/1958,11/13/2004,1088 East Napier Avenue,Benton Harbor,Berrien,MI,49022
JPMorgan Chase Bank,0,Stevensville Branch,2786,3/1/1958,11/13/2004,5689 St. Joseph Road,Stevensville,Berrien,MI,49127
JPMorgan Chase Bank,0,Hilltop Branch,2787,12/2/1970,11/13/2004,1310 Hilltop Road,Saint Joseph,Berrien,MI,49085
JPMorgan Chase Bank,0,Roscommon Branch,2788,5/18/1907,11/13/2004,701 Lake Street,Roscommon,Roscommon,MI,48653
JPMorgan Chase Bank,0,Houghton Lake Branch,2789,4/1/1946,11/13/2004,5661 West Houghton Lake Drive,Houghton Lake,Roscommon,MI,48629
JPMorgan Chase Bank,0,Prudenville Branch,2790,10/1/1962,11/13/2004,898 West Houghton Lake Drive,Prudenville,Roscommon,MI,48651
JPMorgan Chase Bank,0,St. Helen Road Branch,2791,6/28/1965,11/13/2004,2048 North St. Helen Road,St. Helen,Roscommon,MI,48656
JPMorgan Chase Bank,0,Grand Haven Main Branch,2792,1/1/1910,11/13/2004,300 Washington Ave.,Grand Haven,Ottawa,MI,49417
JPMorgan Chase Bank,0,Robbins Road Branch,2793,2/18/1964,11/13/2004,1001 Robbins Road,Grand Haven,Ottawa,MI,49417
JPMorgan Chase Bank,0,Spring Lake Branch,2794,7/2/1962,11/13/2004,101 West Savidge Street,Spring Lake,Ottawa,MI,49456
JPMorgan Chase Bank,0,Grand Rapids Plaza Branch,2795,6/18/1918,11/13/2004,"200 Ottawa Avenue, N. W.",Grand Rapids,Kent,MI,49503
JPMorgan Chase Bank,0,Ada Branch,2796,12/8/1965,11/13/2004,455 Ada Drive Southeast,Ada,Kent,MI,49301
JPMorgan Chase Bank,0,Cedar Springs Branch,2797,7/1/1955,11/13/2004,7 Main Street,Cedar Springs,Kent,MI,49319
JPMorgan Chase Bank,0,Alger Heights Branch,2798,7/20/1959,11/13/2004,"2430 Eastern Avenue, S.E.",Grand Rapids,Kent,MI,49507
JPMorgan Chase Bank,0,Michigan-Fuller Branch,2801,9/6/1957,11/13/2004,"1100 Michigan Street, N. E.",Grand Rapids,Kent,MI,49503
JPMorgan Chase Bank,0,Plainfield Four-Mile Branch,2802,9/12/1960,11/13/2004,"3539 Plainfield Avenue, N.E.",Grand Rapids,Kent,MI,49505
JPMorgan Chase Bank,0,Leonard Fuller Branch,2803,11/7/1962,11/13/2004,"1309 Leonard Street, N.E.",Grand Rapids,Kent,MI,49505
JPMorgan Chase Bank,0,Division 44th Branch,2804,2/23/1950,11/13/2004,4333 South Division Avenue,Grand Rapids,Kent,MI,49508
JPMorgan Chase Bank,0,Rockford Branch,2805,9/1/1951,11/13/2004,23 South Main Street,Rockford,Kent,MI,49341
JPMorgan Chase Bank,0,Leonard Walker Branch,2806,6/2/1958,11/13/2004,1629 Leonard Street NW,Grand Rapids,Kent,MI,49504
JPMorgan Chase Bank,0,Chicago Drive Branch,2807,12/1/1958,11/13/2004,"1048 Chicago Drive, S.W.",Wyoming,Kent,MI,49509
JPMorgan Chase Bank,0,Clocktower Branch,2808,2/15/1967,11/13/2004,"6261 Kalamazoo Avenue, S.E.",Grand Rapids,Kent,MI,49508
JPMorgan Chase Bank,0,Northland Drive Branch,2809,12/18/1967,11/13/2004,"5380 Northland Drive, N.E.",Grand Rapids,Kent,MI,49525
JPMorgan Chase Bank,0,Forest Hills Cascade Branch,2810,8/26/1968,11/13/2004,"4717 Cascade Road, S.E.",Grand Rapids,Kent,MI,49546
JPMorgan Chase Bank,0,Breton-Burton Branch,2811,9/20/1971,11/13/2004,"1935 Breton Road, S.E.",Grand Rapids,Kent,MI,49506
JPMorgan Chase Bank,0,Lake Michigan Drive Branch,2813,7/2/1974,11/13/2004,"2705 Lake Michigan Drive, N.W.",Grand Rapids,Kent,MI,49504
JPMorgan Chase Bank,0,Thornapple Branch,2814,11/24/1980,11/13/2004,"6335 28th Street, S.E.",Grand Rapids,Kent,MI,49546
JPMorgan Chase Bank,0,Alpine Lamoreaux Branch,2815,7/18/1983,11/13/2004,4366 Alpine Avenue,Comstock Park,Kent,MI,49321
JPMorgan Chase Bank,0,Breton Meadows Branch,2816,5/12/1986,11/13/2004,"4375 Breton Road, Se",Grand Rapids,Kent,MI,49512
JPMorgan Chase Bank,0,Grandville Branch,2817,9/23/1964,11/13/2004,"3115 Wilson Avenue, S.W.",Grandville,Kent,MI,49418
JPMorgan Chase Bank,0,Jenison Branch,2818,2/8/1979,11/13/2004,615 Baldwin Street,Jenison,Ottawa,MI,49428
JPMorgan Chase Bank,0,Holland 8th St Branch,2819,9/17/1980,11/13/2004,635 East 8th Street,Holland,Ottawa,MI,49423
JPMorgan Chase Bank,0,Burlingame 44th Branch,2820,10/23/1989,11/13/2004,"1825 44th Street, Southwest",Wyoming,Kent,MI,49509
JPMorgan Chase Bank,0,Petoskey Downtown Branch,2821,01/01/1878,11/13/2004,320 Howard Street,Petoskey,Emmet,MI,49770
JPMorgan Chase Bank,0,West Side Branch,2822,7/18/1967,11/13/2004,677 West Mitchell,Petoskey,Emmet,MI,49770
JPMorgan Chase Bank,0,East Bay View Branch,2823,8/6/1973,11/13/2004,1211 US Highway 31 North,Petoskey,Emmet,MI,49770
JPMorgan Chase Bank,0,Boyne City Branch,2824,3/16/1979,11/13/2004,1153 M-75 South,Boyne City,Charlevoix,MI,49712
JPMorgan Chase Bank,0,Harbor Springs Branch,2825,5/26/1981,11/13/2004,7645 South State Road,Harbor Springs,Emmet,MI,49740
JPMorgan Chase Bank,0,Downtown Kalamazoo Branch,2826,4/12/1979,11/13/2004,141 East Michigan Avenue,Kalamazoo,Kalamazoo,MI,49007
JPMorgan Chase Bank,0,Portage Branch,2827,6/9/1980,11/13/2004,2109 West Centre Avenue,Portage,Kalamazoo,MI,49024
JPMorgan Chase Bank,0,Traverse City Main Branch,2828,3/9/1984,11/13/2004,231 East State Street,Traverse City,Grand Traverse,MI,49684
JPMorgan Chase Bank,0,State Street Drive-Up Branch,2829,11/7/1960,11/13/2004,231 East State Street,Traverse City,Grand Traverse,MI,49684
JPMorgan Chase Bank,0,Acme Branch,2830,1/3/1972,11/13/2004,5754 US 31 N,Williamsburg,Genesee,MI,49690
JPMorgan Chase Bank,0,Chums Corners Branch,2831,11/1/1973,11/13/2004,4001 U.S. 31 South,Traverse City,Grand Traverse,MI,49684
JPMorgan Chase Bank,0,Cherryland Branch,2832,10/25/1976,11/13/2004,995 West South Airport Road,Traverse City,Grand Traverse,MI,49686
